,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RUN,100.0,59.26,9,20.0,56,0,Solar,Technology,2.613,11.9,0.593,0.45,26.67
1,MVIS,76.47,29.91,51,52.08,51,0,Scientific & Technical Instruments,Technology,0.38,2.0,0.229,0.979,22.4
2,UUUU,90.0,29.29,30,40.2,971,0,Uranium,Energy,0.968,6.0,0.264,0.746,19.67
3,DXCM,90.0,26.13,30,35.9,64,0,Medical Devices,Healthcare,44.82,116.26,0.235,0.836,19.65
4,MITK,69.39,18.68,49,40.8,398,0,Software - Application,Technology,0.527,11.56,0.13,1.201,15.57
5,AXL,80.95,19.49,42,44.57,943,0,Auto Parts,Consumer Cyclical,0.83,7.09,0.158,0.942,14.87
6,CCK,69.05,20.03,42,41.93,1469,0,Packaging & Containers,Consumer Cyclical,9.28,76.92,0.138,1.002,13.85
7,UVV,84.72,8.76,72,39.96,325,0,Tobacco,Consumer Defensive,1.213,49.37,0.074,1.802,13.37
8,CBRL,87.72,10.73,57,40.23,65,0,Restaurants,Consumer Cyclical,1.563,70.44,0.094,1.417,13.34
9,SIRI,83.33,21.12,36,48.03,164,0,Entertainment,Communication Services,18.29,4.76,0.176,0.75,13.19
10,AVXL,85.19,18.15,27,31.93,55,0,Biotechnology,Healthcare,0.404,4.92,0.155,0.846,13.07
11,AMT,85.71,23.12,21,33.0,306,0,REIT - Specialty,Real Estate,88.539,189.93,0.198,0.636,12.61
12,TDS,84.06,7.62,69,35.59,155,0,Telecom Services,Communication Services,1.585,14.03,0.064,1.939,12.42
13,ERII,76.19,18.5,21,24.71,54,0,Pollution & Treatment Controls,Industrials,0.801,14.04,0.141,0.85,11.98
14,APLD,100.0,110.85,3,29.0,382,0,Capital Markets,Financial Services,0.494,4.05,1.108,0.103,11.47
15,CZR,100.0,39.81,12,42.0,55,0,Resorts & Casinos,Consumer Cyclical,9.009,41.65,0.398,0.286,11.37
16,GNL,100.0,17.68,21,35.29,55,0,REIT - Diversified,Real Estate,1.774,7.62,0.177,0.595,10.52
17,AKAM,73.33,13.17,45,44.47,217,0,Software - Infrastructure,Technology,16.334,108.17,0.097,1.012,9.77
18,BALY,91.67,35.8,12,40.75,47,0,Resorts & Casinos,Consumer Cyclical,0.468,10.25,0.328,0.294,9.66
19,EXAS,79.49,16.09,39,51.67,33,0,Diagnostics & Research,Healthcare,10.443,57.53,0.128,0.755,9.65
20,ADBE,77.08,13.32,48,52.25,310,0,Software - Infrastructure,Technology,250.155,553.44,0.103,0.919,9.43
21,PANW,100.0,23.03,15,36.8,955,0,Software - Infrastructure,Technology,91.143,282.09,0.23,0.408,9.39
22,BELFB,93.33,28.7,15,44.4,935,0,Electronic Components,Technology,0.661,50.25,0.268,0.338,9.05
23,ROCK,75.76,13.61,33,37.82,59,0,Building Products & Equipment,Industrials,2.309,75.84,0.103,0.873,9.0
24,GMRE,80.0,16.89,15,22.6,302,0,REIT - Healthcare Facilities,Real Estate,0.619,9.44,0.135,0.664,8.97
25,VSAT,82.05,11.02,39,40.15,55,0,Communication Equipment,Technology,2.317,18.49,0.09,0.971,8.78
26,ROIC,100.0,50.49,6,35.0,55,0,REIT - Retail,Real Estate,1.643,12.94,0.505,0.171,8.66
27,TBI,74.36,13.69,39,46.38,956,0,Staffing & Employment Services,Industrials,0.353,11.25,0.102,0.841,8.56
28,PEAK,100.0,9.11,36,38.83,47,0,REIT - Healthcare Facilities,Real Estate,9.099,16.63,0.091,0.927,8.45
29,MMM,87.88,6.06,66,42.05,57,0,Conglomerates,Industrials,51.169,92.58,0.053,1.57,8.36
30,DENN,73.33,16.41,30,44.3,67,0,Restaurants,Consumer Cyclical,0.487,9.18,0.12,0.677,8.15
31,BRC,88.1,9.71,42,44.21,314,0,Security & Protection Services,Industrials,2.795,57.82,0.086,0.95,8.13
32,MRCY,88.89,12.9,27,39.67,318,0,Aerospace & Defense,Industrials,1.682,28.33,0.115,0.681,7.8
33,PENN,80.0,11.34,30,35.6,496,0,Resorts & Casinos,Consumer Cyclical,2.589,17.06,0.091,0.843,7.64
34,FORR,88.89,10.25,27,32.33,954,0,Consulting Services,Industrials,0.376,19.55,0.091,0.835,7.61
35,LEG,73.02,7.16,63,43.67,51,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2.748,20.6,0.052,1.443,7.54
36,BILL,100.0,26.98,6,21.83,36,0,Software - Application,Technology,6.654,63.29,0.27,0.275,7.42
37,POWI,84.85,11.24,33,42.67,1310,0,Semiconductors,Technology,4.008,70.45,0.095,0.773,7.38
38,CAR,75.0,7.33,60,45.98,380,0,Rental & Leasing Services,Industrials,3.726,105.04,0.055,1.305,7.17
39,BWA,75.61,6.84,41,29.68,952,0,Auto Parts,Consumer Cyclical,6.988,30.41,0.052,1.381,7.14
40,HVT,72.46,6.15,69,43.45,160,0,Home Improvement Retail,Consumer Cyclical,0.537,32.76,0.045,1.588,7.08
41,AXSM,66.67,19.82,18,33.83,48,0,Biotechnology,Healthcare,3.738,78.94,0.132,0.532,7.03
42,NCLH,93.33,19.97,15,39.8,379,0,Travel Services,Consumer Cyclical,6.879,16.17,0.186,0.377,7.02
43,FRT,83.33,8.0,36,34.17,935,0,REIT - Retail,Real Estate,8.219,98.28,0.067,1.054,7.02
44,VMI,69.23,5.56,78,44.59,957,0,Conglomerates,Industrials,4.575,219.01,0.038,1.749,6.73
45,PEN,100.0,14.29,9,19.33,54,0,Medical Devices,Healthcare,9.2,238.37,0.143,0.466,6.65
46,TCBK,100.0,25.15,6,23.5,170,0,Banks - Regional,Financial Services,1.129,33.95,0.252,0.255,6.42
47,ARCO,93.33,14.22,15,31.6,935,0,Restaurants,Consumer Cyclical,2.427,11.52,0.133,0.475,6.3
48,SABR,100.0,39.08,9,59.33,142,0,Travel Services,Consumer Cyclical,1.036,2.73,0.391,0.152,5.93
49,PUMP,88.89,45.19,9,61.67,334,0,Oil & Gas Equipment & Services,Energy,0.815,7.44,0.402,0.146,5.86
50,UIS,66.67,4.88,93,51.94,260,0,Information Technology Services,Technology,0.359,5.25,0.033,1.791,5.83
51,ASTS,100.0,35.42,6,38.5,253,0,Communication Equipment,Technology,0.755,2.95,0.354,0.156,5.52
52,GTN,70.27,11.13,37,54.16,155,0,Broadcasting,Communication Services,0.586,6.14,0.078,0.683,5.34
53,FC,62.75,8.2,51,49.31,162,0,Consulting Services,Industrials,0.501,37.69,0.051,1.034,5.32
54,AUR,100.0,44.19,3,25.0,52,0,Information Technology Services,Technology,3.946,2.57,0.442,0.12,5.3
55,COLD,100.0,16.94,9,28.78,47,0,REIT - Industrial,Real Estate,7.327,25.77,0.169,0.313,5.3
56,SMAR,100.0,19.69,9,33.56,379,0,Software - Application,Technology,5.728,42.04,0.197,0.268,5.28
57,PFC,100.0,11.39,21,45.67,931,0,Banks - Regional,Financial Services,0.705,19.73,0.114,0.46,5.24
58,INDB,74.07,11.52,27,44.67,149,0,Banks - Regional,Financial Services,2.253,52.56,0.085,0.604,5.16
59,GSBC,95.24,10.77,21,42.0,171,0,Banks - Regional,Financial Services,0.594,50.3,0.103,0.5,5.13
60,CAC,88.89,7.85,27,36.78,74,0,Banks - Regional,Financial Services,0.461,31.64,0.07,0.734,5.12
61,QDEL,60.87,9.54,46,52.83,52,0,Medical Devices,Healthcare,3.133,46.89,0.058,0.871,5.06
