,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,92.31,15.25,39,51.28,4,3,Communication Equipment,Technology,1.627,12.64,0.141,0.761,10.71
1,NEM,75.76,8.36,66,44.86,15,3,Gold,Basic Materials,36.015,31.25,0.063,1.471,9.32
2,HUM,82.05,12.86,39,47.62,12,3,Healthcare Plans,Healthcare,42.267,350.32,0.106,0.819,8.64
3,COLB,100.0,14.92,18,33.67,6,3,Banks - Regional,Financial Services,3.775,18.1,0.149,0.535,7.98
4,PFE,78.0,7.77,50,47.78,71,3,Drug Manufacturers - General,Healthcare,149.978,26.56,0.061,1.046,6.34
5,SSRM,85.19,10.19,27,47.56,15,3,Gold,Basic Materials,0.877,4.3,0.087,0.568,4.93
6,MED,60.42,6.08,48,50.69,15,3,Personal Services,Consumer Cyclical,0.437,40.09,0.037,0.947,3.48
7,KW,72.22,9.92,18,41.06,1,3,Real Estate Services,Real Estate,1.22,8.78,0.072,0.438,3.14
8,LNZA,100.0,58.84,3,66.0,1,1,Waste Management,Industrials,0.633,3.22,0.588,0.045,2.67
9,PRA,80.95,5.9,21,45.43,59,3,Insurance - Property & Casualty,Financial Services,0.628,12.33,0.048,0.462,2.21
10,DCOM,80.95,4.63,21,38.95,1,3,Banks - Regional,Financial Services,0.728,18.74,0.037,0.539,2.02
11,FWRD,47.62,5.16,21,51.81,10,3,Integrated Freight & Logistics,Industrials,1.143,37.13,0.025,0.405,1.0
12,NYCB,50.0,3.26,24,47.75,3,3,Banks - Regional,Financial Services,3.459,4.79,0.016,0.503,0.82
13,IRBT,55.56,4.5,18,63.0,11,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.318,11.41,0.025,0.286,0.71
14,MLNK,100.0,13.12,3,64.0,1,1,Software - Application,Technology,1.446,18.96,0.131,0.047,0.61
15,CRCT,100.0,8.73,3,44.0,59,3,Computer Hardware,Technology,1.059,4.83,0.087,0.068,0.6
16,SAVE,55.56,2.26,18,60.17,14,3,Airlines,Industrials,0.706,6.45,0.013,0.299,0.38
17,CNMD,52.38,0.91,42,62.79,7,3,Medical Devices,Healthcare,2.47,80.32,0.005,0.669,0.32
18,MNTK,-33.33,-37.12,3,134.0,3,3,Utilities - Diversified,Utilities,0.816,5.68,0.124,0.022,0.28
19,ADM,76.19,0.28,42,46.36,11,3,Farm Products,Consumer Defensive,28.328,53.11,0.002,0.906,0.19
20,LBRDK,55.56,2.11,9,83.33,1,1,Telecom Services,Communication Services,8.605,60.18,0.012,0.108,0.13
21,AGL,16.67,0.57,6,50.0,61,3,Medical Care Facilities,Healthcare,2.491,6.13,0.001,0.12,0.01
22,MKTX,47.83,-0.2,23,46.09,1,3,Capital Markets,Financial Services,8.081,213.41,-0.001,0.499,-0.05
23,LBRDA,33.33,-4.93,6,111.5,1,1,Telecom Services,Communication Services,8.607,60.15,-0.016,0.054,-0.09
24,IRDM,16.67,-7.2,12,72.5,1,2,Telecom Services,Communication Services,3.545,28.95,-0.012,0.166,-0.2
25,ATSG,37.5,-10.64,24,77.5,3,1,Airlines,Industrials,0.787,12.07,-0.04,0.31,-1.24
