,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RUN,100.0,59.26,9,20.0,60,0,Solar,Technology,2.644,12.04,0.593,0.45,26.67
1,DCO,84.88,12.1,86,42.29,1003,0,Aerospace & Defense,Industrials,0.699,47.72,0.103,2.034,20.89
2,DXCM,90.0,26.13,30,35.9,68,0,Medical Devices,Healthcare,44.361,115.07,0.235,0.836,19.65
3,AXL,80.95,19.49,42,44.57,947,0,Auto Parts,Consumer Cyclical,0.81,6.92,0.158,0.942,14.87
4,OII,73.33,15.59,60,49.05,336,0,Oil & Gas Equipment & Services,Energy,1.992,19.76,0.114,1.223,13.98
5,UVV,84.72,8.76,72,39.96,329,0,Tobacco,Consumer Defensive,1.18,48.01,0.074,1.802,13.37
6,CBRL,87.72,10.73,57,40.23,69,0,Restaurants,Consumer Cyclical,1.468,66.13,0.094,1.417,13.34
7,SIRI,83.33,21.12,36,48.03,168,0,Entertainment,Communication Services,16.984,4.42,0.176,0.75,13.19
8,TDS,84.06,7.62,69,35.59,159,0,Telecom Services,Communication Services,1.729,15.3,0.064,1.939,12.42
9,APLD,100.0,110.85,3,29.0,386,0,Capital Markets,Financial Services,0.506,4.15,1.108,0.103,11.47
10,LXU,68.06,9.93,72,44.67,365,0,Chemicals,Basic Materials,0.547,7.36,0.068,1.612,10.89
11,GNL,100.0,17.68,21,35.29,59,0,REIT - Diversified,Real Estate,1.683,7.21,0.177,0.595,10.52
12,TCPC,100.0,25.05,12,30.08,60,0,Asset Management,Financial Services,0.619,10.72,0.25,0.399,9.99
13,AKAM,73.33,13.17,45,44.47,221,0,Software - Infrastructure,Technology,16.749,110.92,0.097,1.012,9.77
14,EXAS,79.49,16.09,39,51.67,37,0,Diagnostics & Research,Healthcare,10.443,57.53,0.128,0.755,9.65
15,EGP,82.35,7.14,51,33.0,318,0,REIT - Industrial,Real Estate,8.425,175.69,0.059,1.545,9.09
16,BELFB,93.33,28.7,15,44.4,939,0,Electronic Components,Technology,0.68,51.97,0.268,0.338,9.05
17,GMRE,80.0,16.89,15,22.6,306,0,REIT - Healthcare Facilities,Real Estate,0.587,8.95,0.135,0.664,8.97
18,TBI,74.36,13.69,39,46.38,960,0,Staffing & Employment Services,Industrials,0.369,11.75,0.102,0.841,8.56
19,PEAK,100.0,9.11,36,38.83,51,0,REIT - Healthcare Facilities,Real Estate,9.165,16.75,0.091,0.927,8.45
20,MMM,87.88,6.06,66,42.05,61,0,Conglomerates,Industrials,50.915,92.12,0.053,1.57,8.36
21,ATEC,77.78,18.39,27,46.67,51,0,Medical Devices,Healthcare,1.831,13.43,0.143,0.579,8.28
22,DENN,73.33,16.41,30,44.3,71,0,Restaurants,Consumer Cyclical,0.482,9.23,0.12,0.677,8.15
23,MMSI,79.49,12.93,39,51.69,65,0,Medical Instruments & Supplies,Healthcare,4.401,76.2,0.103,0.754,7.75
24,PENN,80.0,11.34,30,35.6,500,0,Resorts & Casinos,Consumer Cyclical,2.778,18.3,0.091,0.843,7.64
25,FORR,88.89,10.25,27,32.33,958,0,Consulting Services,Industrials,0.388,20.17,0.091,0.835,7.61
26,ARL,69.23,6.67,78,47.5,45,0,Real Estate - Development,Real Estate,0.313,19.35,0.046,1.642,7.58
27,LEG,73.02,7.16,63,43.67,55,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2.724,20.42,0.052,1.443,7.54
28,INVA,85.71,16.08,21,38.71,817,0,Biotechnology,Healthcare,0.979,15.28,0.138,0.542,7.48
29,BILL,100.0,26.98,6,21.83,40,0,Software - Application,Technology,6.658,63.33,0.27,0.275,7.42
30,VMI,70.37,5.72,81,44.09,961,0,Conglomerates,Industrials,4.427,211.93,0.04,1.837,7.39
31,PRGS,93.33,10.24,30,39.0,56,0,Software - Infrastructure,Technology,2.341,53.36,0.096,0.769,7.35
32,CAR,75.0,7.33,60,45.98,384,0,Rental & Leasing Services,Industrials,3.832,108.04,0.055,1.305,7.17
33,ADTN,80.56,10.61,36,44.33,163,0,Communication Equipment,Technology,0.448,5.69,0.085,0.812,6.94
34,SHLS,100.0,56.76,3,25.0,486,0,Solar,Technology,2.183,12.83,0.568,0.12,6.81
35,PEN,100.0,14.29,9,19.33,58,0,Medical Devices,Healthcare,9.092,234.92,0.143,0.466,6.65
36,AMGN,76.92,8.89,39,40.23,226,0,Drug Manufacturers - General,Healthcare,146.751,273.83,0.068,0.969,6.63
37,M,71.11,8.37,45,41.07,79,0,Department Stores,Consumer Cyclical,4.782,17.44,0.06,1.096,6.52
38,BERY,85.71,13.56,21,37.71,431,0,Packaging & Containers,Consumer Cyclical,6.748,58.21,0.116,0.557,6.47
39,TCBK,100.0,25.15,6,23.5,174,0,Banks - Regional,Financial Services,1.111,33.41,0.252,0.255,6.42
