,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,25,3,Communication Equipment,Technology,1.44,11.19,0.18,0.709,12.8
1,SIRI,87.5,22.24,32,49.81,2,3,Entertainment,Communication Services,14.179,3.69,0.195,0.642,12.5
2,TCPC,100.0,28.01,10,29.4,5,3,Asset Management,Financial Services,0.865,10.11,0.28,0.34,9.53
3,IART,90.32,12.64,31,38.77,1,3,Medical Devices,Healthcare,2.622,33.52,0.114,0.8,9.13
4,HUM,84.62,11.83,39,46.62,34,3,Healthcare Plans,Healthcare,36.687,304.33,0.1,0.837,8.37
5,AMC,66.67,22.0,21,37.43,135,3,Entertainment,Communication Services,0.816,3.1,0.147,0.561,8.23
6,COLD,100.0,18.97,9,25.78,3,3,REIT - Industrial,Real Estate,6.786,23.83,0.19,0.349,6.62
7,QDEL,65.91,11.0,44,52.89,16,3,Medical Devices,Healthcare,2.813,42.08,0.073,0.832,6.03
8,XMTR,100.0,38.09,6,40.5,5,3,Specialty Industrial Machinery,Industrials,0.802,16.51,0.381,0.148,5.64
9,GNE,95.24,12.06,21,47.0,31,3,Utilities - Regulated Electric,Utilities,0.428,15.65,0.115,0.447,5.13
10,EMBC,100.0,24.73,6,37.0,11,3,Medical Instruments & Supplies,Healthcare,0.732,12.72,0.247,0.162,4.01
11,FUBO,75.0,29.01,12,66.25,9,2,Broadcasting,Communication Services,0.461,1.54,0.218,0.181,3.94
12,ACRE,50.0,56.56,6,52.5,17,3,REIT - Mortgage,Real Estate,0.389,7.15,0.283,0.114,3.23
13,ARKO,100.0,19.3,6,36.5,4,3,Specialty Retail,Consumer Cyclical,0.647,5.39,0.193,0.164,3.17
14,SIBN,100.0,30.55,3,29.0,2,2,Medical Devices,Healthcare,0.638,15.53,0.306,0.103,3.16
15,MED,60.47,6.13,43,54.28,37,3,Personal Services,Consumer Cyclical,0.383,35.12,0.037,0.792,2.94
16,MEI,61.11,5.27,36,53.33,1,2,Electronic Components,Technology,0.413,11.66,0.032,0.675,2.17
17,UNFI,66.67,4.02,39,55.69,3,3,Food Distribution,Consumer Defensive,0.63,10.6,0.027,0.7,1.88
18,COUR,100.0,26.43,3,44.0,3,3,Education & Training Services,Consumer Defensive,2.156,13.74,0.264,0.068,1.8
19,AMCX,66.67,10.33,12,49.75,17,3,Entertainment,Communication Services,0.504,11.56,0.069,0.241,1.66
20,DBX,100.0,13.35,6,49.33,14,3,Software - Infrastructure,Technology,8.221,23.9,0.134,0.122,1.62
21,LUNG,66.67,43.25,3,57.0,8,3,Medical Devices,Healthcare,0.328,8.51,0.288,0.053,1.52
22,ZIP,100.0,15.43,3,34.0,7,1,Staffing & Employment Services,Industrials,1.101,11.11,0.154,0.088,1.36
23,TWKS,100.0,7.02,9,57.44,4,3,Information Technology Services,Technology,0.768,2.38,0.07,0.157,1.1
24,PACB,47.62,5.83,21,55.38,4,3,Medical Devices,Healthcare,0.906,3.38,0.028,0.379,1.05
25,IAS,100.0,7.07,6,46.5,6,3,Advertising Agencies,Communication Services,1.549,9.71,0.071,0.129,0.91
26,NYCB,50.0,3.26,24,47.75,26,3,Banks - Regional,Financial Services,2.434,3.05,0.016,0.503,0.82
27,FWRD,42.86,3.97,21,51.05,32,3,Integrated Freight & Logistics,Industrials,0.723,27.42,0.017,0.411,0.7
28,VSCO,50.0,8.84,6,41.67,1,1,Apparel Retail,Consumer Cyclical,1.365,17.6,0.044,0.144,0.64
29,HRZN,66.67,4.06,9,48.67,2,3,Asset Management,Financial Services,0.375,11.22,0.027,0.185,0.5
30,SAVE,55.56,2.26,18,60.17,37,3,Airlines,Industrials,0.499,4.55,0.013,0.299,0.38
31,CNMD,51.28,0.96,39,63.28,29,3,Medical Devices,Healthcare,2.385,77.5,0.005,0.616,0.3
32,FSLY,-33.33,-52.86,3,189.0,7,3,Software - Application,Technology,1.737,12.94,0.176,0.016,0.28
33,MNTK,-33.33,-37.12,3,134.0,25,3,Utilities - Diversified,Utilities,0.583,4.06,0.124,0.022,0.28
34,CNXC,-16.67,-17.38,6,85.0,5,3,Information Technology Services,Technology,4.03,61.46,0.029,0.071,0.2
35,LBRDK,55.56,1.69,9,82.89,21,3,Telecom Services,Communication Services,7.751,54.28,0.009,0.109,0.1
36,CHTR,33.33,-3.9,6,115.83,18,3,Telecom Services,Communication Services,40.142,278.02,-0.013,0.052,-0.07
37,LBRDA,33.33,-4.93,6,111.5,21,3,Telecom Services,Communication Services,7.769,54.08,-0.016,0.054,-0.09
38,IRWD,12.5,-4.98,8,46.62,4,3,Drug Manufacturers - Specialty & Generic,Healthcare,1.287,8.22,-0.006,0.172,-0.11
39,ROKU,55.56,-3.14,9,93.33,12,3,Entertainment,Communication Services,8.917,62.85,-0.017,0.096,-0.17
40,IRDM,25.0,-5.69,12,66.5,19,3,Telecom Services,Communication Services,3.089,25.23,-0.014,0.18,-0.26
41,AEHR,51.85,-1.71,27,73.19,38,3,Semiconductor Equipment & Materials,Technology,0.343,11.89,-0.009,0.369,-0.33
42,TTEC,55.56,-3.09,36,61.58,2,3,Information Technology Services,Technology,0.452,9.54,-0.017,0.585,-1.0
43,GPRO,61.11,-6.89,18,62.67,17,3,Consumer Electronics,Technology,0.322,2.15,-0.042,0.287,-1.21
