,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RENT,100.0,50.35,12,42.75,4,3,Apparel Retail,Consumer Cyclical,0.021,5.88,0.504,0.281,14.13
1,EXTR,97.22,18.56,36,50.75,26,3,Communication Equipment,Technology,1.464,11.37,0.18,0.709,12.8
2,SIRI,87.5,22.24,32,49.81,2,3,Entertainment,Communication Services,13.718,3.57,0.195,0.642,12.5
3,DENN,83.33,18.18,30,43.07,11,3,Restaurants,Consumer Cyclical,0.456,8.72,0.151,0.697,10.55
4,TCPC,100.0,28.01,10,29.4,5,3,Asset Management,Financial Services,0.864,10.1,0.28,0.34,9.53
5,IART,90.32,12.64,31,38.77,2,3,Medical Devices,Healthcare,2.652,33.9,0.114,0.8,9.13
6,HUM,84.62,11.83,39,46.62,35,3,Healthcare Plans,Healthcare,37.136,308.06,0.1,0.837,8.37
7,AMC,66.67,22.0,21,37.43,136,3,Entertainment,Communication Services,0.795,3.02,0.147,0.561,8.23
8,COLD,100.0,18.97,9,25.78,4,3,REIT - Industrial,Real Estate,6.732,23.64,0.19,0.349,6.62
9,QDEL,65.91,11.0,44,52.89,16,3,Medical Devices,Healthcare,2.843,42.53,0.073,0.832,6.03
10,XMTR,100.0,38.09,6,40.5,5,3,Specialty Industrial Machinery,Industrials,0.846,17.41,0.381,0.148,5.64
11,GNE,95.24,12.06,21,47.0,32,3,Utilities - Regulated Electric,Utilities,0.424,15.51,0.115,0.447,5.13
12,TFX,76.32,6.48,38,44.21,4,3,Medical Instruments & Supplies,Healthcare,10.115,214.74,0.049,0.86,4.25
13,EMBC,100.0,24.73,6,37.0,12,3,Medical Instruments & Supplies,Healthcare,0.728,12.65,0.247,0.162,4.01
14,ACRE,50.0,56.56,6,52.5,18,3,REIT - Mortgage,Real Estate,0.391,7.18,0.283,0.114,3.23
15,ARKO,100.0,19.3,6,36.5,5,3,Specialty Retail,Consumer Cyclical,0.631,5.26,0.193,0.164,3.17
16,SIBN,100.0,30.55,3,29.0,2,2,Medical Devices,Healthcare,0.651,15.85,0.306,0.103,3.16
17,MED,60.47,6.13,43,54.28,38,3,Personal Services,Consumer Cyclical,0.371,34.06,0.037,0.792,2.94
18,ACAD,58.33,7.95,36,63.69,1,1,Biotechnology,Healthcare,3.035,18.42,0.046,0.565,2.62
19,MEI,61.11,5.27,36,53.33,1,3,Electronic Components,Technology,0.419,11.84,0.032,0.675,2.17
20,UNFI,66.67,4.02,39,55.69,3,3,Food Distribution,Consumer Defensive,0.631,10.62,0.027,0.7,1.88
21,COUR,100.0,26.43,3,44.0,4,3,Education & Training Services,Consumer Defensive,2.127,13.55,0.264,0.068,1.8
22,AMCX,66.67,10.33,12,49.75,18,3,Entertainment,Communication Services,0.51,11.71,0.069,0.241,1.66
23,DBX,100.0,13.35,6,49.33,15,3,Software - Infrastructure,Technology,8.077,23.48,0.134,0.122,1.62
24,LUNG,66.67,43.25,3,57.0,9,3,Medical Devices,Healthcare,0.306,7.95,0.288,0.053,1.52
25,ZIP,100.0,15.43,3,34.0,8,1,Staffing & Employment Services,Industrials,1.091,11.01,0.154,0.088,1.36
26,TWKS,100.0,7.02,9,57.44,4,3,Information Technology Services,Technology,0.775,2.4,0.07,0.157,1.1
