,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,IDCC,90.24,20.15,41,29.59,357,0,Software - Application,Technology,2.45,96.14,0.182,1.386,25.19
1,MCS,94.74,14.01,57,32.0,170,0,Entertainment,Communication Services,0.434,13.69,0.133,1.781,23.64
2,MVIS,76.47,30.2,51,51.0,81,0,Scientific & Technical Instruments,Technology,0.334,1.71,0.231,1.0,23.09
3,ATNI,100.0,16.01,41,31.17,112,0,Telecom Services,Communication Services,0.434,28.03,0.16,1.315,21.06
4,KYMR,100.0,69.51,6,22.0,95,0,Biotechnology,Healthcare,2.223,36.37,0.695,0.273,18.96
5,DKL,100.0,123.0,3,24.0,990,0,Oil & Gas Refining & Marketing,Energy,1.844,39.07,1.23,0.125,15.38
6,MNST,84.62,18.55,39,40.08,1340,0,Beverages - Non-Alcoholic,Consumer Defensive,58.282,55.65,0.157,0.973,15.27
7,LGIH,100.0,39.03,15,38.6,98,0,Residential Construction,Consumer Cyclical,2.372,100.6,0.39,0.389,15.17
8,ATLC,77.78,20.66,45,49.27,91,0,Credit Services,Financial Services,0.419,28.68,0.161,0.913,14.68
9,TCI,72.13,16.02,61,48.23,965,0,Real Estate Services,Real Estate,0.307,35.56,0.116,1.265,14.61
10,ARWR,62.3,24.34,61,63.7,88,0,Biotechnology,Healthcare,3.184,25.7,0.152,0.958,14.52
11,LEGH,100.0,30.65,12,26.0,85,0,Residential Construction,Consumer Cyclical,0.519,21.26,0.306,0.462,14.15
12,NEGG,80.95,30.6,21,39.81,89,0,Internet Retail,Consumer Cyclical,0.321,0.84,0.248,0.528,13.07
13,AMT,85.71,23.16,21,32.14,336,0,REIT - Specialty,Real Estate,87.772,188.21,0.199,0.653,12.97
14,AVXL,95.83,19.43,24,34.46,85,0,Biotechnology,Healthcare,0.36,4.39,0.186,0.696,12.97
15,MDXG,85.19,23.65,27,44.67,341,0,Biotechnology,Healthcare,1.014,6.9,0.201,0.604,12.18
16,VALU,87.5,15.34,24,27.62,3157,0,Financial Data & Stock Exchanges,Financial Services,0.355,37.62,0.134,0.869,11.66
17,AKRO,100.0,32.68,12,34.0,76,0,Biotechnology,Healthcare,1.595,23.13,0.327,0.353,11.53
18,APLD,100.0,110.85,3,29.0,412,0,Capital Markets,Financial Services,0.381,3.12,1.108,0.103,11.47
19,OCUL,85.71,24.51,21,38.67,82,0,Biotechnology,Healthcare,1.188,7.99,0.21,0.543,11.41
20,SGRY,83.33,34.88,18,47.17,86,0,Medical Care Facilities,Healthcare,3.463,27.35,0.291,0.382,11.09
21,HQL,90.48,9.85,42,33.81,78,0,Asset Management,Financial Services,0.354,13.23,0.089,1.242,11.07
22,DMRC,69.7,20.0,33,41.67,414,0,Information Technology Services,Technology,0.504,24.66,0.139,0.792,11.04
23,APLS,100.0,57.05,6,32.0,134,0,Biotechnology,Healthcare,6.489,53.81,0.57,0.188,10.7
24,PG,91.07,7.97,56,39.14,1439,0,Household & Personal Products,Consumer Defensive,367.165,156.04,0.073,1.431,10.38
25,ENVX,100.0,47.54,6,27.5,77,0,Electrical Equipment & Parts,Industrials,1.245,7.39,0.475,0.218,10.37
26,NS,87.88,15.96,33,46.33,849,0,Oil & Gas Midstream,Energy,2.847,22.5,0.14,0.712,9.99
27,DRI,89.66,11.95,29,32.17,98,0,Restaurants,Consumer Cyclical,18.852,157.94,0.107,0.901,9.66
28,AKAM,73.33,12.76,45,43.93,247,0,Software - Infrastructure,Technology,16.213,105.82,0.094,1.024,9.58
29,PANW,100.0,23.03,15,36.8,985,0,Software - Infrastructure,Technology,86.778,268.58,0.23,0.408,9.39
30,CNC,95.24,16.98,21,36.29,230,0,Healthcare Plans,Healthcare,39.037,72.98,0.162,0.579,9.36
31,FDS,100.0,9.12,27,26.44,499,0,Financial Data & Stock Exchanges,Financial Services,16.781,440.27,0.091,1.021,9.31
32,GL,100.0,10.12,33,36.18,986,0,Insurance - Life,Financial Services,10.142,107.85,0.101,0.912,9.23
33,ARVN,100.0,33.17,9,32.67,90,0,Biotechnology,Healthcare,2.563,37.65,0.332,0.275,9.14
34,VRTX,75.76,15.81,33,43.91,1852,0,Biotechnology,Healthcare,104.474,404.22,0.12,0.752,9.0
35,REGN,76.67,24.66,30,63.37,1111,0,Biotechnology,Healthcare,103.009,938.48,0.189,0.473,8.95
36,ZD,85.71,19.67,21,39.62,188,0,Advertising Agencies,Communication Services,2.647,57.45,0.169,0.53,8.94
37,ANGI,79.17,21.16,24,45.92,88,0,Internet Content & Information,Communication Services,1.155,2.3,0.168,0.523,8.76
38,FULC,80.0,30.49,15,41.8,217,0,Biotechnology,Healthcare,0.523,8.45,0.244,0.359,8.75
39,OSUR,61.9,16.54,42,50.14,415,0,Medical Instruments & Supplies,Healthcare,0.453,5.92,0.102,0.838,8.58
40,CCI,88.89,14.53,27,41.85,97,0,REIT - Specialty,Real Estate,43.535,100.19,0.129,0.645,8.33
41,BF-B,90.0,8.99,30,30.0,1422,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.185,50.65,0.081,1.0,8.09
42,ADBE,70.83,12.04,48,50.85,340,0,Software - Infrastructure,Technology,216.957,484.28,0.085,0.944,8.05
43,AXSM,80.0,24.91,15,38.2,78,0,Biotechnology,Healthcare,3.416,72.11,0.199,0.393,7.83
44,IFN,92.31,8.93,39,41.26,349,0,Asset Management,Financial Services,0.601,19.35,0.082,0.945,7.79
45,SLNO,50.0,48.77,18,57.17,320,0,Biotechnology,Healthcare,1.308,40.31,0.244,0.315,7.68
46,BF-A,83.61,5.64,61,37.87,84,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.185,52.14,0.047,1.611,7.6
47,ADSK,87.5,10.52,32,39.28,605,0,Software - Application,Technology,52.6,245.89,0.092,0.815,7.5
48,NVEE,100.0,16.48,16,35.94,201,0,Engineering & Construction,Industrials,1.521,95.54,0.165,0.445,7.34
49,HQH,84.62,8.36,39,37.87,78,0,Asset Management,Financial Services,0.809,16.37,0.071,1.03,7.29
50,BRSP,100.0,31.85,9,39.67,965,0,REIT - Mortgage,Real Estate,0.842,6.48,0.318,0.227,7.23
51,HCKT,77.78,16.24,27,47.44,214,0,Information Technology Services,Technology,0.641,23.24,0.126,0.569,7.19
52,ACHC,71.43,17.58,21,36.71,1139,0,Medical Care Facilities,Healthcare,6.961,75.43,0.126,0.572,7.18
53,ATXS,86.67,28.41,15,51.8,76,0,Biotechnology,Healthcare,0.626,11.4,0.246,0.29,7.13
54,ACHR,100.0,33.74,6,28.5,513,0,Aerospace & Defense,Industrials,1.329,4.28,0.337,0.211,7.1
55,ADTN,80.56,10.62,36,43.72,189,0,Communication Equipment,Technology,0.4,5.05,0.086,0.823,7.04
56,MORF,100.0,29.31,6,25.5,78,0,Biotechnology,Healthcare,1.506,30.09,0.293,0.235,6.9
57,EQIX,80.0,14.02,30,48.9,498,0,REIT - Specialty,Real Estate,74.58,788.19,0.112,0.613,6.88
58,SHLS,100.0,56.76,3,25.0,512,0,Solar,Technology,1.75,10.27,0.568,0.12,6.81
59,SSYS,82.93,12.04,41,60.76,70,0,Computer Hardware,Technology,0.756,10.84,0.1,0.675,6.74
60,AAL,63.33,15.88,30,44.97,85,0,Airlines,Industrials,9.101,13.9,0.101,0.667,6.71
61,CHUY,100.0,15.73,15,35.6,986,0,Restaurants,Consumer Cyclical,0.56,32.33,0.157,0.421,6.63
62,SKX,75.86,11.08,29,36.86,595,0,Footwear & Accessories,Consumer Cyclical,8.928,58.25,0.084,0.787,6.61
63,SUN,84.62,18.56,13,31.85,991,0,Oil & Gas Refining & Marketing,Energy,4.865,57.62,0.157,0.408,6.41
64,SHC,100.0,22.43,9,31.67,78,0,Diagnostics & Research,Healthcare,3.224,11.4,0.224,0.284,6.37
65,MRNS,66.67,18.53,24,46.62,424,0,Biotechnology,Healthcare,0.448,8.2,0.124,0.515,6.36
66,ROST,77.78,6.64,54,44.0,495,0,Apparel Retail,Consumer Cyclical,47.015,140.27,0.052,1.227,6.34
67,PRGS,86.67,9.24,30,38.33,82,0,Software - Infrastructure,Technology,2.214,50.46,0.08,0.783,6.27
68,AMD,52.24,9.4,67,52.9,335,0,Semiconductors,Technology,274.582,169.9,0.049,1.267,6.22
69,BMEA,88.89,42.11,9,54.67,85,0,Biotechnology,Healthcare,0.447,12.51,0.374,0.165,6.16
70,IPG,76.92,8.63,39,42.74,1632,0,Advertising Agencies,Communication Services,11.918,31.47,0.066,0.912,6.06
71,AAPL,77.55,7.92,49,50.69,1282,0,Consumer Electronics,Technology,2601.188,168.45,0.061,0.967,5.94
72,MSM,81.58,8.11,38,42.76,987,0,Industrial Distribution,Industrials,5.316,94.42,0.066,0.889,5.88
73,AMGN,75.0,9.0,36,41.83,252,0,Drug Manufacturers - General,Healthcare,144.269,269.2,0.068,0.861,5.81
74,PBI,67.27,6.67,55,42.62,503,0,Integrated Freight & Logistics,Industrials,0.692,3.92,0.045,1.29,5.79
75,WDAY,75.0,20.35,12,32.25,503,0,Software - Application,Technology,70.964,268.61,0.153,0.372,5.68
76,HHH,80.95,13.69,21,41.29,78,0,Real Estate - Diversified,Real Estate,3.401,67.67,0.111,0.509,5.64
77,TVTX,100.0,17.38,15,46.4,79,0,Biotechnology,Healthcare,0.53,6.96,0.174,0.323,5.62
78,VEEV,100.0,15.66,12,34.0,340,0,Health Information Services,Healthcare,34.678,214.97,0.157,0.353,5.53
79,ICFI,93.33,14.3,15,36.6,986,0,Consulting Services,Industrials,2.734,146.08,0.133,0.41,5.47
80,IRON,75.0,24.3,12,40.0,81,0,Biotechnology,Healthcare,0.784,31.78,0.182,0.3,5.47
81,EOLS,66.67,26.28,12,38.58,564,0,Drug Manufacturers - Specialty & Generic,Healthcare,0.818,13.3,0.175,0.311,5.45
82,ALLO,100.0,28.63,9,47.33,66,0,Biotechnology,Healthcare,0.673,3.98,0.286,0.19,5.44
83,DLTR,76.67,8.75,30,40.03,86,0,Discount Stores,Consumer Defensive,27.95,128.22,0.067,0.749,5.03
84,ZG,83.33,16.18,18,48.72,78,0,Internet Content & Information,Communication Services,11.008,46.61,0.135,0.369,4.98
85,GILD,66.67,16.77,18,42.0,489,0,Drug Manufacturers - General,Healthcare,86.565,69.42,0.112,0.429,4.79
86,PFE,74.42,7.53,43,50.37,5,0,Drug Manufacturers - General,Healthcare,150.51,26.58,0.056,0.854,4.78
87,X,66.1,5.29,59,44.0,417,0,Steel,Basic Materials,9.116,40.55,0.035,1.341,4.69
88,DAY,100.0,49.79,3,32.0,975,0,Software - Application,Technology,9.73,62.55,0.498,0.094,4.67
89,SHEN,83.33,15.02,18,49.0,359,0,Telecom Services,Communication Services,0.846,15.51,0.125,0.367,4.6
90,CTSH,88.89,14.49,18,50.78,333,0,Information Technology Services,Technology,35.377,71.06,0.129,0.354,4.57
91,INCY,67.57,10.27,37,56.27,78,0,Biotechnology,Healthcare,12.36,55.05,0.069,0.658,4.56
92,DOX,100.0,10.64,17,39.88,984,0,Software - Infrastructure,Technology,10.173,87.32,0.106,0.426,4.54
93,ACLX,100.0,48.11,3,32.0,460,0,Biotechnology,Healthcare,3.205,60.7,0.481,0.094,4.51
94,BYON,65.91,8.77,44,58.07,86,0,Internet Retail,Consumer Cyclical,1.357,29.68,0.058,0.758,4.38
95,AMPH,100.0,13.56,11,34.27,355,0,Drug Manufacturers - Specialty & Generic,Healthcare,1.974,41.05,0.136,0.321,4.35
96,SEE,63.16,8.17,38,45.53,90,0,Packaging & Containers,Consumer Cyclical,4.822,33.37,0.052,0.835,4.31
97,RHI,64.15,5.74,53,45.72,408,0,Staffing & Employment Services,Industrials,7.953,75.59,0.037,1.159,4.27
98,BCRX,62.5,13.23,32,62.34,218,0,Biotechnology,Healthcare,0.95,4.61,0.083,0.513,4.24
99,EYE,100.0,19.23,9,41.0,100,0,Specialty Retail,Consumer Cyclical,1.583,20.21,0.192,0.22,4.22
100,VGR,67.65,8.34,34,45.5,978,0,Tobacco,Consumer Defensive,1.624,10.3,0.056,0.747,4.22
101,CLX,78.79,7.45,33,45.91,96,0,Household & Personal Products,Consumer Defensive,17.915,144.35,0.059,0.719,4.22
102,MARA,53.33,28.92,15,55.73,297,0,Capital Markets,Financial Services,4.804,17.95,0.154,0.269,4.15
103,EA,69.44,7.84,36,47.42,253,0,Electronic Gaming & Multimedia,Communication Services,34.755,130.0,0.054,0.759,4.13
104,DBI,61.9,16.61,21,52.67,289,0,Footwear & Accessories,Consumer Cyclical,0.54,9.44,0.103,0.399,4.1
105,THW,83.33,10.83,18,40.0,78,0,Asset Management,Financial Services,0.478,12.54,0.09,0.45,4.06
106,MCD,82.35,3.9,51,40.35,96,0,Restaurants,Consumer Cyclical,193.192,267.56,0.032,1.264,4.06
