,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,IDCC,90.24,20.15,41,29.59,358,0,Software - Application,Technology,2.483,97.41,0.182,1.386,25.19
1,MCS,94.74,14.01,57,32.0,171,0,Entertainment,Communication Services,0.437,13.77,0.133,1.781,23.64
2,HA,100.0,39.5,21,35.38,86,0,Airlines,Industrials,0.684,13.2,0.395,0.594,23.45
3,RGNX,100.0,39.4,18,30.5,24,0,Biotechnology,Healthcare,0.931,19.01,0.394,0.59,23.25
4,MVIS,76.47,30.2,51,51.0,82,0,Scientific & Technical Instruments,Technology,0.332,1.7,0.231,1.0,23.09
5,ATNI,100.0,16.01,41,31.17,113,0,Telecom Services,Communication Services,0.441,28.47,0.16,1.315,21.06
6,DKL,100.0,123.0,3,24.0,991,0,Oil & Gas Refining & Marketing,Energy,1.821,38.59,1.23,0.125,15.38
7,MNST,84.62,18.55,39,40.08,1341,0,Beverages - Non-Alcoholic,Consumer Defensive,58.387,55.75,0.157,0.973,15.27
8,LGIH,100.0,39.03,15,38.6,99,0,Residential Construction,Consumer Cyclical,2.406,102.05,0.39,0.389,15.17
9,ATLC,77.78,20.66,45,49.27,92,0,Credit Services,Financial Services,0.412,28.21,0.161,0.913,14.68
10,ARWR,62.3,24.34,61,63.7,89,0,Biotechnology,Healthcare,3.252,26.25,0.152,0.958,14.52
11,LEGH,100.0,30.65,12,26.0,86,0,Residential Construction,Consumer Cyclical,0.519,21.25,0.306,0.462,14.15
12,LIND,100.0,59.39,9,39.67,79,0,Travel Services,Consumer Cyclical,0.431,8.07,0.594,0.227,13.47
13,NEGG,80.95,30.6,21,39.81,90,0,Internet Retail,Consumer Cyclical,0.323,0.85,0.248,0.528,13.07
14,AVXL,95.83,19.43,24,34.46,86,0,Biotechnology,Healthcare,0.36,4.39,0.186,0.696,12.97
15,MDXG,85.19,23.65,27,44.67,342,0,Biotechnology,Healthcare,1.032,7.02,0.201,0.604,12.18
16,VALU,87.5,15.34,24,27.62,3158,0,Financial Data & Stock Exchanges,Financial Services,0.361,38.31,0.134,0.869,11.66
17,APLD,100.0,110.85,3,29.0,413,0,Capital Markets,Financial Services,0.348,2.85,1.108,0.103,11.47
18,OCUL,85.71,24.51,21,38.67,83,0,Biotechnology,Healthcare,1.214,8.17,0.21,0.543,11.41
19,SGRY,83.33,34.88,18,47.17,87,0,Medical Care Facilities,Healthcare,3.493,27.59,0.291,0.382,11.09
20,DMRC,69.7,20.0,33,41.67,415,0,Information Technology Services,Technology,0.493,24.11,0.139,0.792,11.04
21,PG,91.07,7.97,56,39.14,1440,0,Household & Personal Products,Consumer Defensive,368.624,156.66,0.073,1.431,10.38
22,NS,87.88,15.96,33,46.33,850,0,Oil & Gas Midstream,Energy,2.851,22.53,0.14,0.712,9.99
23,DRI,89.66,11.95,29,32.17,99,0,Restaurants,Consumer Cyclical,18.896,158.31,0.107,0.901,9.66
24,CNC,95.24,16.98,21,36.29,231,0,Healthcare Plans,Healthcare,38.893,72.71,0.162,0.579,9.36
25,FDS,100.0,9.12,27,26.44,500,0,Financial Data & Stock Exchanges,Financial Services,16.759,439.68,0.091,1.021,9.31
26,GL,100.0,10.12,33,36.18,987,0,Insurance - Life,Financial Services,10.119,107.61,0.101,0.912,9.23
27,ARVN,100.0,33.17,9,32.67,91,0,Biotechnology,Healthcare,2.593,38.08,0.332,0.275,9.14
28,VRTX,75.76,15.81,33,43.91,1853,0,Biotechnology,Healthcare,104.542,404.48,0.12,0.752,9.0
29,ZD,85.71,19.67,21,39.62,189,0,Advertising Agencies,Communication Services,2.68,58.16,0.169,0.53,8.94
30,ANGI,79.17,21.16,24,45.92,89,0,Internet Content & Information,Communication Services,1.155,2.3,0.168,0.523,8.76
31,FULC,80.0,30.49,15,41.8,218,0,Biotechnology,Healthcare,0.523,8.45,0.244,0.359,8.75
32,OSUR,61.9,16.54,42,50.14,416,0,Medical Instruments & Supplies,Healthcare,0.454,5.93,0.102,0.838,8.58
33,BF-B,90.0,8.99,30,30.0,1423,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.296,50.92,0.081,1.0,8.09
34,ADBE,70.83,12.04,48,50.85,341,0,Software - Infrastructure,Technology,220.662,492.55,0.085,0.944,8.05
35,IFN,92.31,8.93,39,41.26,350,0,Asset Management,Financial Services,0.602,19.39,0.082,0.945,7.79
36,BF-A,83.61,5.64,61,37.87,85,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.296,52.31,0.047,1.611,7.6
37,ATXS,86.67,28.41,15,51.8,77,0,Biotechnology,Healthcare,0.631,11.49,0.246,0.29,7.13
38,ACHR,100.0,33.74,6,28.5,514,0,Aerospace & Defense,Industrials,1.329,4.28,0.337,0.211,7.1
39,ADTN,80.56,10.62,36,43.72,190,0,Communication Equipment,Technology,0.406,5.13,0.086,0.823,7.04
40,MORF,100.0,29.31,6,25.5,79,0,Biotechnology,Healthcare,1.54,30.77,0.293,0.235,6.9
41,SHLS,100.0,56.76,3,25.0,513,0,Solar,Technology,1.805,10.59,0.568,0.12,6.81
42,CHUY,100.0,15.73,15,35.6,987,0,Restaurants,Consumer Cyclical,0.557,32.13,0.157,0.421,6.63
43,SKX,75.86,11.08,29,36.86,596,0,Footwear & Accessories,Consumer Cyclical,8.913,58.15,0.084,0.787,6.61
44,SUN,84.62,18.56,13,31.85,992,0,Oil & Gas Refining & Marketing,Energy,4.784,56.66,0.157,0.408,6.41
45,SHC,100.0,22.43,9,31.67,79,0,Diagnostics & Research,Healthcare,3.287,11.62,0.224,0.284,6.37
46,ROST,77.78,6.64,54,44.0,496,0,Apparel Retail,Consumer Cyclical,46.916,139.92,0.052,1.227,6.34
47,PRGS,86.67,9.24,30,38.33,83,0,Software - Infrastructure,Technology,2.251,51.31,0.08,0.783,6.27
48,BMEA,88.89,42.11,9,54.67,86,0,Biotechnology,Healthcare,0.457,12.8,0.374,0.165,6.16
49,AMGN,75.0,9.0,36,41.83,253,0,Drug Manufacturers - General,Healthcare,144.891,270.36,0.068,0.861,5.81
50,TVTX,100.0,17.38,15,46.4,80,0,Biotechnology,Healthcare,0.522,6.86,0.174,0.323,5.62
51,VEEV,100.0,15.66,12,34.0,341,0,Health Information Services,Healthcare,34.932,216.54,0.157,0.353,5.53
52,IRON,75.0,24.3,12,40.0,82,0,Biotechnology,Healthcare,0.792,32.08,0.182,0.3,5.47
53,ICFI,93.33,14.3,15,36.6,987,0,Consulting Services,Industrials,2.693,143.89,0.133,0.41,5.47
54,EOLS,66.67,26.28,12,38.58,565,0,Drug Manufacturers - Specialty & Generic,Healthcare,0.817,13.29,0.175,0.311,5.45
55,DLTR,76.67,8.75,30,40.03,87,0,Discount Stores,Consumer Defensive,27.756,127.33,0.067,0.749,5.03
56,CHEF,66.67,21.07,18,50.5,95,0,Food Distribution,Consumer Defensive,1.36,34.27,0.14,0.356,5.01
57,GILD,66.67,16.77,18,42.0,490,0,Drug Manufacturers - General,Healthcare,87.213,69.94,0.112,0.429,4.79
58,SHEN,83.33,15.02,18,49.0,360,0,Telecom Services,Communication Services,0.843,15.45,0.125,0.367,4.6
