,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,UONEK,64.71,37.28,51,58.61,517,0,Broadcasting,Communication Services,0.121,2.38,0.241,0.87,20.99
1,SCX,82.22,7.04,90,39.88,436,0,Tools & Accessories,Industrials,0.069,9.95,0.058,2.257,13.06
2,SIRI,87.5,22.24,32,49.81,172,0,Entertainment,Communication Services,16.1,4.19,0.195,0.642,12.5
3,VYX,83.33,13.34,30,34.6,312,0,Information Technology Services,Technology,1.672,11.84,0.111,0.867,9.64
4,TCPC,100.0,28.01,10,29.4,64,0,Asset Management,Financial Services,0.604,10.45,0.28,0.34,9.53
5,IART,90.32,12.64,31,38.77,55,0,Medical Devices,Healthcare,2.823,36.11,0.114,0.8,9.13
6,ATEC,77.78,19.48,27,46.07,55,0,Medical Devices,Healthcare,1.796,13.02,0.152,0.586,8.88
7,JAKK,70.0,14.86,40,52.2,971,0,Leisure,Consumer Cyclical,0.242,24.05,0.104,0.766,7.97
8,SMLR,100.0,28.28,9,34.33,399,0,Medical Devices,Healthcare,0.226,32.87,0.283,0.262,7.41
9,VMI,70.67,6.17,75,44.85,965,0,Conglomerates,Industrials,4.209,208.22,0.044,1.672,7.29
10,CONN,61.9,12.73,42,51.76,46,0,Specialty Retail,Consumer Cyclical,0.086,3.49,0.079,0.811,6.39
11,QDEL,65.91,11.0,44,52.89,60,0,Medical Devices,Healthcare,2.865,42.87,0.073,0.832,6.03
12,AAPL,77.55,7.92,49,50.69,1260,0,Consumer Electronics,Technology,2611.534,169.12,0.061,0.967,5.94
13,WDAY,75.0,20.35,12,32.25,481,0,Software - Application,Technology,70.203,266.93,0.153,0.372,5.68
14,XMTR,100.0,38.09,6,40.5,185,0,Specialty Industrial Machinery,Industrials,0.853,17.71,0.381,0.148,5.64
15,RRGB,85.71,9.59,28,43.79,68,0,Restaurants,Consumer Cyclical,0.114,7.33,0.082,0.639,5.26
16,SAVA,81.48,10.76,27,46.44,435,0,Biotechnology,Healthcare,0.858,19.84,0.088,0.581,5.1
17,GTN,79.31,13.26,29,61.34,163,0,Broadcasting,Communication Services,0.557,5.68,0.105,0.473,4.97
18,ARKO,100.0,14.14,12,35.25,482,0,Specialty Retail,Consumer Cyclical,0.774,6.45,0.141,0.34,4.81
19,EHAB,100.0,41.87,3,28.0,63,0,Medical Care Facilities,Healthcare,0.394,7.86,0.419,0.107,4.49
20,SABR,100.0,26.31,9,57.0,150,0,Travel Services,Consumer Cyclical,0.827,2.18,0.263,0.158,4.15
21,EVC,80.95,12.73,21,54.14,149,0,Advertising Agencies,Communication Services,0.183,1.79,0.103,0.388,4.0
22,RAPT,100.0,24.36,6,41.5,193,0,Biotechnology,Healthcare,0.314,9.14,0.244,0.145,3.52
23,CRD-A,70.83,4.22,48,43.38,78,0,Insurance Brokers,Financial Services,0.426,8.63,0.03,1.107,3.31
24,COMM,66.67,8.56,30,51.8,50,0,Communication Equipment,Technology,0.235,1.1,0.057,0.579,3.31
