,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,PGY,50.0,199.45,6,33.0,293,0,Software - Infrastructure,Technology,0.643,9.12,0.997,0.182,18.13
1,LEGH,100.0,30.65,12,26.0,72,0,Residential Construction,Consumer Cyclical,0.518,21.23,0.306,0.462,14.15
2,SIRI,87.5,22.24,32,49.81,181,0,Entertainment,Communication Services,15.331,3.99,0.195,0.642,12.5
3,AXGN,66.67,37.21,18,40.89,82,0,Medical Devices,Healthcare,0.332,7.68,0.248,0.44,10.92
4,TCPC,100.0,28.01,10,29.4,73,0,Asset Management,Financial Services,0.864,10.1,0.28,0.34,9.53
5,IART,90.32,12.64,31,38.77,64,0,Medical Devices,Healthcare,2.685,34.32,0.114,0.8,9.13
6,XMTR,100.0,38.09,6,40.5,194,0,Specialty Industrial Machinery,Industrials,0.831,17.1,0.381,0.148,5.64
7,HHH,80.95,13.69,21,41.29,65,0,Real Estate - Diversified,Real Estate,3.577,71.18,0.111,0.509,5.64
8,ARKO,100.0,14.14,12,35.25,491,0,Specialty Retail,Consumer Cyclical,0.69,5.75,0.141,0.34,4.81
9,X,66.1,5.29,59,44.0,404,0,Steel,Basic Materials,8.936,39.75,0.035,1.341,4.69
10,SABR,100.0,26.31,9,57.0,159,0,Travel Services,Consumer Cyclical,0.77,2.03,0.263,0.158,4.15
11,TBBK,61.11,14.74,18,53.67,952,0,Banks - Regional,Financial Services,1.848,35.04,0.09,0.335,3.02
12,MEI,64.1,5.26,39,49.77,70,0,Electronic Components,Technology,0.425,12.0,0.034,0.784,2.64
13,ACAD,58.33,7.95,36,63.69,597,0,Biotechnology,Healthcare,3.081,18.7,0.046,0.565,2.62
14,BA,64.71,4.22,51,54.59,84,0,Aerospace & Defense,Industrials,110.52,181.14,0.027,0.934,2.55
15,AMPS,100.0,10.61,9,37.67,188,0,Utilities - Renewable,Utilities,0.703,4.42,0.106,0.239,2.53
16,TNGX,100.0,81.27,3,104.0,153,0,Biotechnology,Healthcare,0.87,8.15,0.813,0.029,2.34
17,SAIC,100.0,6.79,12,36.75,101,0,Information Technology Services,Technology,6.597,126.72,0.068,0.327,2.22
18,FFWM,80.0,8.97,15,50.73,162,0,Banks - Regional,Financial Services,0.373,6.6,0.072,0.296,2.12
19,KNX,73.33,5.59,15,30.33,73,0,Trucking,Industrials,8.411,52.08,0.041,0.495,2.03
20,UNFI,66.67,4.02,39,55.69,67,0,Food Distribution,Consumer Defensive,0.703,11.83,0.027,0.7,1.88
21,COUR,100.0,26.43,3,44.0,330,0,Education & Training Services,Consumer Defensive,2.232,14.22,0.264,0.068,1.8
22,RDUS,69.7,3.26,33,48.64,970,0,Steel,Basic Materials,0.503,18.04,0.023,0.678,1.54
23,PLNT,100.0,13.86,3,31.0,970,0,Leisure,Consumer Cyclical,4.978,56.46,0.139,0.097,1.34
24,NEOG,56.67,4.05,30,62.43,70,0,Diagnostics & Research,Healthcare,3.272,15.11,0.023,0.481,1.1
25,TWKS,100.0,7.02,9,57.44,61,0,Information Technology Services,Technology,0.768,2.38,0.07,0.157,1.1
26,MDB,83.33,11.09,6,51.0,307,0,Software - Infrastructure,Technology,25.768,353.8,0.092,0.118,1.09
27,LUV,65.62,2.44,32,47.91,70,0,Airlines,Industrials,16.808,28.17,0.016,0.668,1.07
28,PACB,47.62,5.83,21,55.38,68,0,Medical Devices,Healthcare,0.975,3.64,0.028,0.379,1.05
29,IAS,100.0,7.07,6,46.5,72,0,Advertising Agencies,Communication Services,1.52,9.53,0.071,0.129,0.91
30,CLMT,37.5,5.52,24,57.21,64,0,Oil & Gas E&P,Energy,1.107,13.8,0.021,0.42,0.87
31,DNB,100.0,8.89,4,42.5,166,0,Financial Data & Stock Exchanges,Financial Services,4.322,9.85,0.089,0.094,0.84
32,LAZR,-33.33,-29.74,3,58.0,52,0,Auto Parts,Consumer Cyclical,0.717,1.7,0.099,0.052,0.51
33,HRZN,66.67,4.06,9,48.67,412,0,Asset Management,Financial Services,0.378,11.31,0.027,0.185,0.5
34,MMI,58.33,3.05,12,43.25,76,0,Real Estate Services,Real Estate,1.217,31.68,0.018,0.277,0.49
35,UA,73.33,2.26,15,50.6,490,0,Apparel Manufacturing,Consumer Cyclical,3.088,6.95,0.017,0.296,0.49
36,NOVA,66.67,3.71,9,48.33,68,0,Solar,Technology,0.538,4.39,0.025,0.186,0.46
37,CURV,33.33,16.72,6,76.0,242,0,Apparel Retail,Consumer Cyclical,0.351,3.37,0.056,0.079,0.44
38,CNXC,-16.67,-17.38,6,85.0,103,0,Information Technology Services,Technology,3.984,60.08,0.029,0.071,0.2
39,WOOF,50.0,2.78,6,63.0,76,0,Specialty Retail,Consumer Cyclical,0.519,1.93,0.014,0.095,0.13
40,SAM,56.25,0.3,32,61.31,415,0,Beverages - Brewers,Consumer Defensive,3.486,289.93,0.002,0.522,0.09
41,TPVG,41.67,0.79,12,59.5,403,0,Asset Management,Financial Services,0.347,9.22,0.003,0.202,0.07
42,CMP,66.67,0.23,12,49.42,54,0,Other Industrial Metals & Mining,Basic Materials,0.718,17.38,0.002,0.243,0.04
43,PANL,33.33,-7.53,6,84.5,1510,0,Marine Shipping,Industrials,0.326,6.97,-0.025,0.071,-0.18
44,MPLN,11.11,-26.41,9,86.67,232,0,Health Information Services,Healthcare,0.479,0.73,-0.029,0.104,-0.3
45,EXPI,41.67,-5.72,12,68.25,64,0,Real Estate Services,Real Estate,1.431,9.25,-0.024,0.176,-0.42
46,CCOI,33.33,-10.64,18,73.33,2114,0,Telecom Services,Communication Services,2.938,61.94,-0.035,0.245,-0.87
47,UAA,41.67,-17.72,12,91.75,396,0,Apparel Manufacturing,Consumer Cyclical,3.088,7.23,-0.074,0.131,-0.97
48,TTEC,55.56,-3.09,36,61.58,53,0,Information Technology Services,Technology,0.504,10.63,-0.017,0.585,-1.0
