,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,87.5,22.24,32,49.81,22,3,Entertainment,Communication Services,11.366,2.95,0.195,0.642,12.5
1,DMRC,69.7,20.0,33,41.67,1,2,Information Technology Services,Technology,0.452,21.14,0.139,0.792,11.04
2,DENN,83.33,18.18,30,43.07,30,3,Restaurants,Consumer Cyclical,0.418,8.02,0.151,0.697,10.55
3,IART,90.32,12.64,31,38.77,21,3,Medical Devices,Healthcare,2.293,29.17,0.114,0.8,9.13
4,BF-A,88.52,5.92,61,35.51,8,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.817,49.07,0.052,1.718,9.0
5,ZD,85.71,19.67,21,39.62,2,3,Advertising Agencies,Communication Services,2.324,50.38,0.169,0.53,8.94
6,HUM,84.62,11.83,39,46.62,54,3,Healthcare Plans,Healthcare,36.402,302.09,0.1,0.837,8.37
7,BF-B,90.0,8.99,30,30.0,10,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.817,47.85,0.081,1.0,8.09
8,ADBE,70.83,12.04,48,50.85,11,3,Software - Infrastructure,Technology,207.348,462.83,0.085,0.944,8.05
9,EQIX,80.0,14.02,30,48.9,3,3,REIT - Specialty,Real Estate,67.487,711.11,0.112,0.613,6.88
10,COLD,100.0,18.97,9,25.78,23,3,REIT - Industrial,Real Estate,6.262,21.97,0.19,0.349,6.62
11,CAR,73.68,7.3,57,48.07,37,3,Rental & Leasing Services,Industrials,3.403,95.45,0.054,1.186,6.38
12,SHC,100.0,22.43,9,31.67,11,2,Diagnostics & Research,Healthcare,3.139,11.09,0.224,0.284,6.37
13,IRON,75.0,24.3,12,40.0,5,3,Biotechnology,Healthcare,0.687,27.84,0.182,0.3,5.47
14,ARKO,100.0,14.14,12,35.25,24,3,Specialty Retail,Consumer Cyclical,0.498,4.3,0.141,0.34,4.81
15,EMBC,100.0,24.73,6,37.0,31,3,Medical Instruments & Supplies,Healthcare,0.583,10.13,0.247,0.162,4.01
16,JACK,57.58,10.55,33,55.91,1,3,Restaurants,Consumer Cyclical,1.115,57.07,0.061,0.59,3.59
17,NRC,100.0,17.8,6,31.0,1,2,Health Information Services,Healthcare,0.818,34.25,0.178,0.194,3.45
18,HAIN,75.76,7.21,33,54.03,4,3,Packaged Foods,Consumer Defensive,0.552,6.14,0.055,0.611,3.34
