,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,CHRD,60.87,1902.16,23,58.61,864,0,Oil & Gas E&P,Energy,7.239,174.17,11.578,0.392,454.37
1,MCS,94.74,14.01,57,32.0,187,0,Entertainment,Communication Services,0.422,13.11,0.133,1.781,23.64
2,RGNX,100.0,39.4,18,30.5,40,0,Biotechnology,Healthcare,0.794,16.2,0.394,0.59,23.25
3,INDV,80.0,85.94,15,46.8,248,0,Drug Manufacturers - Specialty & Generic,Healthcare,2.452,17.63,0.688,0.321,22.04
4,ATNI,100.0,16.01,41,31.17,129,0,Telecom Services,Communication Services,0.312,20.16,0.16,1.315,21.06
5,CTLP,90.0,29.61,30,40.6,349,0,Information Technology Services,Technology,0.428,5.88,0.266,0.739,19.69
6,EXEL,85.42,18.24,48,41.4,357,0,Biotechnology,Healthcare,6.387,21.93,0.156,1.159,18.06
7,OKE,82.22,16.17,45,34.07,984,0,Oil & Gas Midstream,Energy,44.894,76.92,0.133,1.321,17.56
8,MGM,83.33,24.17,36,43.17,983,0,Resorts & Casinos,Consumer Cyclical,12.601,39.75,0.201,0.834,16.8
9,SBAC,83.33,32.67,24,38.96,353,0,REIT - Specialty,Real Estate,20.402,189.12,0.272,0.616,16.77
10,MAS,87.88,20.3,33,35.7,475,0,Building Products & Equipment,Industrials,15.104,68.58,0.178,0.924,16.49
11,MSTR,81.25,17.15,48,42.31,520,0,Software - Application,Technology,18.146,1028.27,0.139,1.134,15.81
12,MNST,84.62,18.55,39,40.08,1357,0,Beverages - Non-Alcoholic,Consumer Defensive,55.774,53.54,0.157,0.973,15.27
13,LGIH,100.0,39.03,15,38.6,115,0,Residential Construction,Consumer Cyclical,2.108,89.45,0.39,0.389,15.17
14,BDC,86.36,16.2,44,41.0,82,0,Communication Equipment,Technology,3.307,81.32,0.14,1.073,15.01
15,CAT,88.16,9.1,76,42.75,421,0,Farm & Heavy Construction Machinery,Industrials,161.911,331.07,0.08,1.778,14.26
16,EFX,88.57,11.41,35,26.46,113,0,Consulting Services,Industrials,27.277,220.67,0.101,1.323,13.37
17,SM,60.61,29.71,33,44.88,871,0,Oil & Gas E&P,Energy,5.42,47.12,0.18,0.735,13.24
18,AVXL,95.83,19.43,24,34.46,102,0,Biotechnology,Healthcare,0.303,3.69,0.186,0.696,12.97
19,CBRL,87.27,10.71,55,39.91,112,0,Restaurants,Consumer Cyclical,1.251,56.36,0.093,1.378,12.88
20,CWH,75.0,63.58,12,44.5,97,0,Auto & Truck Dealerships,Consumer Cyclical,0.906,20.1,0.477,0.27,12.86
21,CYTK,91.67,21.88,24,37.5,1572,0,Biotechnology,Healthcare,6.627,63.37,0.201,0.64,12.84
22,HAL,75.93,12.33,54,39.7,416,0,Oil & Gas Equipment & Services,Energy,32.163,36.33,0.094,1.36,12.73
23,OXY,73.17,16.24,41,38.54,863,0,Oil & Gas E&P,Energy,57.133,64.45,0.119,1.064,12.64
24,MPC,94.44,24.2,18,32.67,982,0,Oil & Gas Refining & Marketing,Energy,63.056,178.97,0.229,0.551,12.59
25,MRO,79.66,11.43,59,43.12,415,0,Oil & Gas E&P,Energy,14.916,26.1,0.091,1.368,12.46
26,LAD,84.62,14.4,39,39.15,98,0,Auto & Truck Dealerships,Consumer Cyclical,6.966,254.16,0.122,0.996,12.14
27,SEIC,78.85,12.56,52,42.69,103,0,Asset Management,Financial Services,8.699,66.21,0.099,1.218,12.06
28,VALU,87.5,15.34,24,27.62,3174,0,Financial Data & Stock Exchanges,Financial Services,0.342,36.3,0.134,0.869,11.66
29,AKRO,100.0,32.68,12,34.0,93,0,Biotechnology,Healthcare,1.389,20.08,0.327,0.353,11.53
30,MUR,68.25,12.38,63,46.43,862,0,Oil & Gas E&P,Energy,6.741,44.18,0.084,1.357,11.46
31,OCUL,85.71,24.51,21,38.67,99,0,Biotechnology,Healthcare,0.777,5.02,0.21,0.543,11.41
32,CZR,100.0,39.81,12,42.0,102,0,Resorts & Casinos,Consumer Cyclical,7.86,36.38,0.398,0.286,11.37
33,SGRY,83.33,34.88,18,47.17,103,0,Medical Care Facilities,Healthcare,3.131,24.63,0.291,0.382,11.09
34,MCFT,100.0,41.95,12,45.5,83,0,Recreational Vehicles,Consumer Cyclical,0.34,19.97,0.42,0.264,11.06
35,KOS,80.0,45.27,15,49.8,983,0,Oil & Gas E&P,Energy,2.636,5.59,0.362,0.301,10.91
36,DXC,83.33,10.72,54,44.83,134,0,Information Technology Services,Technology,3.475,19.0,0.089,1.205,10.76
37,BEN,92.86,9.86,42,35.9,96,0,Asset Management,Financial Services,11.981,22.77,0.092,1.17,10.71
38,APLS,100.0,57.05,6,32.0,151,0,Biotechnology,Healthcare,5.586,46.05,0.57,0.188,10.7
39,MSI,79.71,9.38,69,48.26,352,0,Communication Equipment,Technology,55.98,336.0,0.075,1.43,10.69
40,PATK,72.22,12.97,54,47.57,367,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2.329,104.06,0.094,1.135,10.63
41,DIS,80.0,6.64,85,42.95,432,0,Entertainment,Communication Services,202.653,110.48,0.053,1.979,10.51
42,APA,71.79,16.94,39,45.85,15,0,Oil & Gas E&P,Energy,11.332,30.5,0.122,0.851,10.34
43,WDFC,79.63,8.43,54,36.09,122,0,Specialty Chemicals,Basic Materials,3.067,226.31,0.067,1.496,10.04
44,GNTX,79.07,14.72,43,49.86,997,0,Auto Parts,Consumer Cyclical,7.856,33.96,0.116,0.862,10.04
45,HZO,76.92,14.01,39,41.97,1707,0,Specialty Retail,Consumer Cyclical,0.547,24.51,0.108,0.929,10.01
46,MXL,100.0,22.47,15,33.8,1008,0,Semiconductors,Technology,1.579,19.0,0.225,0.444,9.97
47,MTDR,91.67,46.83,12,51.75,1005,0,Oil & Gas E&P,Energy,7.622,61.08,0.429,0.232,9.95
48,ASTH,100.0,32.21,12,39.0,1105,0,Medical Care Facilities,Healthcare,1.693,37.25,0.322,0.308,9.91
49,MIDD,79.49,12.14,39,38.62,102,0,Specialty Industrial Machinery,Industrials,7.393,137.51,0.097,1.01,9.75
50,DRI,89.66,11.95,29,32.17,115,0,Restaurants,Consumer Cyclical,18.041,151.15,0.107,0.901,9.66
51,HPQ,75.0,6.85,80,42.78,104,0,Computer Hardware,Technology,27.153,27.75,0.051,1.87,9.61
52,AKAM,73.33,12.76,45,43.93,264,0,Software - Infrastructure,Technology,15.457,100.89,0.094,1.024,9.58
53,HST,87.5,8.87,48,38.88,981,0,REIT - Hotel & Motel,Real Estate,13.445,18.84,0.078,1.235,9.58
54,NSIT,77.78,18.34,27,40.33,424,0,Electronics & Computer Distribution,Technology,5.637,173.22,0.143,0.669,9.55
