,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,FLYW,100.0,65.72,3,45.0,1,1,Software - Infrastructure,Technology,2.459,19.81,0.657,0.067,4.38
1,RCEL,27.27,-13.61,11,72.09,1,2,Medical Devices,Healthcare,0.226,8.75,-0.037,0.153,-0.57
2,PZZA,62.07,6.47,29,42.28,1,1,Restaurants,Consumer Cyclical,1.943,58.98,0.04,0.686,2.75
3,GILD,66.67,16.77,18,42.0,1,1,Drug Manufacturers - General,Healthcare,80.779,64.78,0.112,0.429,4.79
4,DOMO,60.0,21.38,15,56.4,1,1,Software - Application,Technology,0.284,7.45,0.128,0.266,3.41
5,VIAV,63.64,5.89,33,44.39,1,1,Communication Equipment,Technology,1.683,7.56,0.037,0.743,2.79
6,ARL,66.25,3.9,80,43.76,1,2,Real Estate - Development,Real Estate,0.22,13.61,0.026,1.828,4.72
7,ULTA,41.67,-2.79,12,70.75,2,3,Specialty Retail,Consumer Cyclical,19.182,397.39,-0.012,0.17,-0.2
8,VERV,100.0,22.48,3,40.0,3,3,Biotechnology,Healthcare,0.538,6.41,0.225,0.075,1.69
9,JACK,57.58,10.55,33,55.91,4,3,Restaurants,Consumer Cyclical,1.079,55.23,0.061,0.59,3.59
10,ATRC,71.43,8.8,21,53.71,5,3,Medical Instruments & Supplies,Healthcare,1.011,20.89,0.063,0.391,2.46
11,EQIX,80.0,19.33,30,47.3,6,3,REIT - Specialty,Real Estate,66.45,700.18,0.155,0.634,9.81
12,LEG,73.02,6.67,63,42.17,10,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.867,13.95,0.049,1.494,7.28
13,CHGG,61.11,-0.15,18,57.33,12,3,Education & Training Services,Consumer Defensive,0.536,5.24,-0.001,0.314,-0.03
14,AXGN,63.16,44.35,19,37.05,12,3,Medical Devices,Healthcare,0.253,5.79,0.28,0.513,14.36
15,AMLX,100.0,99.91,3,19.0,22,3,Biotechnology,Healthcare,0.138,2.03,0.999,0.158,15.78
16,COUR,100.0,26.43,3,44.0,26,3,Education & Training Services,Consumer Defensive,1.5,9.61,0.264,0.068,1.8
17,FSLY,-33.33,-52.86,3,189.0,30,3,Software - Application,Technology,1.159,8.48,0.176,0.016,0.28
