,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,APA,71.79,17.93,39,45.08,17,0,Oil & Gas E&P,Energy,10.861,29.26,0.129,0.865,11.14
1,BMY,81.25,4.98,48,47.1,79,0,Drug Manufacturers - General,Healthcare,89.172,43.99,0.04,1.019,4.12
2,FTNT,61.11,7.09,18,57.56,83,0,Software - Infrastructure,Technology,44.945,58.88,0.043,0.313,1.35
3,LKQ,46.67,2.88,15,54.0,85,0,Auto Parts,Consumer Cyclical,11.698,43.85,0.013,0.278,0.37
4,EL,70.0,4.51,30,45.9,86,0,Household & Personal Products,Consumer Defensive,47.667,132.94,0.032,0.654,2.06
5,ILMN,79.49,21.81,39,41.56,96,0,Diagnostics & Research,Healthcare,18.781,117.93,0.173,0.938,16.27
6,ALGN,86.67,16.1,30,41.13,96,0,Medical Devices,Healthcare,21.671,287.87,0.14,0.729,10.18
7,KMX,64.58,8.64,48,56.77,96,0,Auto & Truck Dealerships,Consumer Cyclical,10.814,68.71,0.056,0.846,4.72
8,EW,61.11,5.93,18,49.33,97,0,Medical Devices,Healthcare,51.372,85.25,0.036,0.365,1.32
9,BEN,92.86,10.3,42,33.76,98,0,Asset Management,Financial Services,12.302,23.38,0.096,1.244,11.9
10,GPN,85.71,9.79,14,41.79,98,0,Specialty Business Services,Industrials,28.427,111.37,0.084,0.335,2.81
11,LUV,65.62,2.39,32,47.72,102,0,Airlines,Industrials,15.65,26.15,0.016,0.671,1.05
12,JNPR,56.67,3.77,30,48.7,104,0,Communication Equipment,Technology,11.323,34.84,0.021,0.616,1.32
13,BAX,60.53,1.78,38,51.61,104,0,Medical Instruments & Supplies,Healthcare,18.798,36.89,0.011,0.736,0.79
14,WY,77.27,8.45,44,45.7,104,0,REIT - Specialty,Real Estate,22.665,31.09,0.065,0.963,6.29
15,CBRE,100.0,18.68,19,51.11,105,0,Real Estate Services,Real Estate,26.585,86.61,0.187,0.372,6.94
16,IQV,100.0,24.13,9,27.0,105,0,Diagnostics & Research,Healthcare,40.698,223.37,0.241,0.333,8.04
17,DLTR,76.67,8.75,30,40.03,105,0,Discount Stores,Consumer Defensive,26.317,120.73,0.067,0.749,5.03
18,PLD,85.0,7.66,20,35.15,105,0,REIT - Industrial,Real Estate,98.038,105.89,0.065,0.569,3.7
19,DG,66.67,0.28,12,54.0,106,0,Discount Stores,Consumer Defensive,30.203,137.49,0.002,0.222,0.04
20,YUM,80.95,2.14,21,48.57,108,0,Restaurants,Consumer Cyclical,37.817,134.34,0.017,0.432,0.75
21,COO,64.91,10.11,57,41.89,108,0,Medical Instruments & Supplies,Healthcare,18.015,90.64,0.066,1.361,8.93
22,GEHC,100.0,1.04,3,61.0,109,0,Health Information Services,Healthcare,36.275,79.47,0.01,0.049,0.05
23,ABT,77.78,4.46,18,52.0,111,0,Medical Devices,Healthcare,184.227,105.9,0.035,0.346,1.2
24,GEN,74.29,9.65,35,53.03,115,0,Software - Infrastructure,Technology,12.757,20.03,0.072,0.66,4.73
25,CLX,78.79,7.45,33,45.91,115,0,Household & Personal Products,Consumer Defensive,17.167,138.23,0.059,0.719,4.22
26,AME,84.21,6.07,38,39.11,117,0,Specialty Industrial Machinery,Industrials,38.554,166.56,0.051,0.972,4.97
27,DRI,89.66,10.8,29,31.14,124,0,Restaurants,Consumer Cyclical,17.814,149.25,0.097,0.931,9.02
28,VRSN,76.0,8.9,25,43.28,137,0,Software - Infrastructure,Technology,16.759,168.26,0.068,0.578,3.91
29,CVS,50.0,0.25,56,50.14,149,0,Healthcare Plans,Healthcare,70.175,55.9,0.001,1.117,0.14
30,EPAM,50.0,4.55,6,27.5,196,0,Information Technology Services,Technology,14.025,242.12,0.023,0.218,0.5
31,MSCI,80.0,9.62,15,34.27,200,0,Financial Data & Stock Exchanges,Financial Services,37.001,467.04,0.077,0.438,3.37
32,CI,65.22,2.78,46,49.57,208,0,Healthcare Plans,Healthcare,97.011,341.5,0.018,0.928,1.68
33,EMR,86.21,6.19,29,42.1,259,0,Specialty Industrial Machinery,Industrials,60.909,106.54,0.053,0.689,3.68
34,AKAM,73.33,12.76,45,43.93,266,0,Software - Infrastructure,Technology,15.271,99.67,0.094,1.024,9.58
35,MANH,72.22,11.92,36,41.47,315,0,Software - Application,Technology,12.976,210.76,0.086,0.868,7.47
36,MA,100.0,15.04,12,44.75,354,0,Credit Services,Financial Services,412.359,443.58,0.15,0.268,4.03
37,SWK,75.0,7.56,44,45.57,355,0,Tools & Accessories,Industrials,13.203,85.8,0.057,0.966,5.47
38,TRMB,70.18,6.17,57,50.07,359,0,Scientific & Technical Instruments,Technology,13.659,55.93,0.043,1.138,4.93
39,INTC,56.76,1.09,37,63.16,360,0,Semiconductors,Technology,131.537,30.9,0.006,0.586,0.36
40,DASH,100.0,39.46,3,19.0,369,0,Internet Content & Information,Communication Services,46.538,113.81,0.395,0.158,6.23
41,CSX,63.64,3.55,33,47.36,369,0,Railroads,Industrials,66.174,33.85,0.023,0.697,1.57
42,MRO,79.66,12.05,59,41.29,417,0,Oil & Gas E&P,Energy,14.857,26.34,0.096,1.429,13.72
43,HAL,81.48,12.63,54,39.2,418,0,Oil & Gas Equipment & Services,Energy,32.517,36.73,0.103,1.378,14.18
44,CAT,90.79,9.18,76,42.28,423,0,Farm & Heavy Construction Machinery,Industrials,164.689,336.75,0.083,1.798,14.98
